"","fineff.theta_hat","fineff.theta_ci_low","fineff.theta_ci_high","soc_eff.theta_hat","soc_eff.theta_ci_low","soc_eff.theta_ci_high","finsoc_eff.theta_hat","finsoc_eff.theta_ci_low","finsoc_eff.theta_ci_high"
"1894",0.0938237000091274,0.0863470258952111,0.0931576220544369,0.7195,0.719264636616286,0.719417327237122,0.7195,0.719151104316285,0.719452673392192
"1895",0.0938237000091274,0.0863470258952111,0.0931576220544369,0.7195,0.719269674218199,0.71941766844721,0.7195,0.719153637311256,0.719454199164164
"1896",0.0938237000091274,0.0863470258952111,0.0931576220544369,0.80355,0.803281088839835,0.803456842062779,0.80355,0.80325839321623,0.803485729041066
"1897",0.0892099506237542,0.0843011619057971,0.0885047662359706,0.80355,0.803296235756353,0.803451977805429,0.80355,0.803295581907102,0.803472418984467
"1898",0.848004040940948,0.782603101544884,0.863690056418122,0.86155,0.852176366600026,0.865406059818134,0.91890096692579,0.891721681770537,0.922060424148228
"1899",0.848004040940948,0.782603101544884,0.863690056418122,0.872754662952697,0.851527492018375,0.870947294592248,0.925749755528909,0.883227482715838,0.925248746480061
"1900",0.0909315714687699,0.0857626590696389,0.0900114800448577,0.99275,0.992358758778516,0.992621461426707,0.99275,0.992367042785833,0.992653335662021
"1901",0.0910203383152307,0.0864884082011369,0.0902723227363567,0.9971,0.996655576079223,0.996977903547565,0.9971,0.996656862573915,0.99699642068572
"1902",0.0888451836913043,0.0837435870688338,0.0879285227385963,0.99275,0.99230740843364,0.992625260876704,0.99275,0.992309690515808,0.992645575530331
"1903",0.0874468616640196,0.08242719583455,0.0865462653820686,0.99275,0.992250872322796,0.992648863827705,0.99275,0.99224436899524,0.992632895892411
